layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,4,9,1.0,438,512,438
conv1,0,1,0.6666666666666666,6,3,2
layer4,0,1,1.0,268,76,76
conv1,0,2,0.8333333333333334,6,7,5
layer4,0,2,0.9776119402985075,350,268,262
conv1,0,3,0.625,9,8,5
layer4,0,3,0.9803370786516854,397,356,349
conv1,0,4,1.0,6,12,6
layer4,0,4,0.9935064935064936,308,404,306
conv1,0,5,0.75,4,12,3
layer4,0,5,0.9944444444444445,180,406,179
conv1,0,6,1.0,2,13,2
layer4,0,6,1.0,282,407,282
conv1,0,7,0.75,4,13,3
layer4,0,7,1.0,71,407,71
conv1,0,8,1.0,5,14,5
conv1,0,9,0.875,8,14,7
layer4,0,9,1.0,4,407,4
conv1,1,0,0.3333333333333333,6,15,2
layer4,1,0,0.8894348894348895,415,407,362
conv1,1,1,0.5714285714285714,7,19,4
layer4,1,1,0.9809976247030879,421,460,413
conv1,1,2,0.25,8,22,2
layer4,1,2,0.9700854700854701,472,468,454
conv1,1,3,0.875,8,28,7
layer4,1,3,0.9936440677966102,472,486,469
conv1,1,4,0.75,12,29,9
layer4,1,4,1.0,412,489,412
conv1,1,5,0.8333333333333334,12,32,10
layer4,1,5,1.0,353,489,353
conv1,1,6,0.6470588235294118,17,34,11
layer4,1,6,1.0,380,489,380
conv1,1,7,1.0,16,40,16
layer4,1,7,0.9957446808510638,470,489,468
conv1,1,8,1.0,18,40,18
layer4,1,8,1.0,447,491,447
conv1,1,9,1.0,16,40,16
layer4,1,9,1.0,461,491,461
conv1,0,1,0.6666666666666666,6,3,2
layer4,0,1,1.0,268,76,76
conv1,0,2,0.8333333333333334,6,7,5
layer4,0,2,0.9776119402985075,350,268,262
conv1,0,3,0.625,9,8,5
layer4,0,3,0.9803370786516854,397,356,349
conv1,0,4,1.0,6,12,6
layer4,0,4,0.9935064935064936,308,404,306
conv1,0,5,0.75,4,12,3
layer4,0,5,0.9944444444444445,180,406,179
conv1,0,6,1.0,2,13,2
layer4,0,6,1.0,282,407,282
conv1,0,7,0.75,4,13,3
layer4,0,7,1.0,71,407,71
conv1,0,8,1.0,5,14,5
conv1,0,9,0.875,8,14,7
layer4,0,9,1.0,4,407,4
conv1,1,0,0.3333333333333333,6,15,2
layer4,1,0,0.8894348894348895,415,407,362
conv1,1,1,0.5714285714285714,7,19,4
layer4,1,1,0.9809976247030879,421,460,413
conv1,1,2,0.25,8,22,2
layer4,1,2,0.9700854700854701,472,468,454
conv1,1,3,0.875,8,28,7
layer4,1,3,0.9936440677966102,472,486,469
conv1,1,4,0.75,12,29,9
layer4,1,4,1.0,412,489,412
conv1,1,5,0.8333333333333334,12,32,10
layer4,1,5,1.0,353,489,353
conv1,1,6,0.6470588235294118,17,34,11
layer4,1,6,1.0,380,489,380
conv1,1,7,1.0,16,40,16
layer4,1,7,0.9957446808510638,470,489,468
conv1,1,8,1.0,18,40,18
layer4,1,8,1.0,447,491,447
conv1,1,9,1.0,16,40,16
layer4,1,9,1.0,461,491,461
layer4,1,0,0.09090909090909091,47,22,2
layer4,1,1,0.78,50,67,39
layer4,1,2,0.8461538461538461,179,78,66
layer4,1,3,0.8691099476439791,228,191,166
layer4,1,4,1.0,77,253,77
layer4,1,5,1.0,20,253,20
layer4,1,6,1.0,41,253,41
layer4,1,7,0.9525691699604744,325,253,241
layer4,1,8,1.0,206,337,206
layer4,1,9,0.9855072463768116,276,337,272
layer4,2,1,1.0,118,359,118
layer4,2,2,1.0,83,359,83
layer4,2,3,1.0,114,359,114
layer4,2,4,1.0,193,359,193
conv1,2,5,0.0,1,1,0
layer4,2,5,0.9907407407407407,216,359,214
conv1,2,6,1.0,4,2,2
layer4,2,6,1.0,67,361,67
conv1,2,7,1.0,2,4,2
layer4,2,7,1.0,103,361,103
conv1,2,8,1.0,4,4,4
layer4,2,8,1.0,77,361,77
conv1,2,9,1.0,3,4,3
layer4,2,9,1.0,99,361,99
conv1,3,0,1.0,6,4,4
layer4,3,0,0.7795527156549521,313,361,244
conv1,3,1,0.8333333333333334,7,6,5
layer4,3,1,1.0,247,430,247
conv1,3,2,1.0,7,8,7
layer4,3,2,1.0,257,430,257
conv1,3,3,1.0,9,8,8
layer4,3,3,1.0,226,430,226
conv1,3,4,0.8888888888888888,9,9,8
layer4,3,4,0.9960159362549801,251,430,250
conv1,3,5,1.0,11,10,10
layer4,3,5,1.0,165,431,165
conv1,3,6,1.0,10,11,10
layer4,3,6,1.0,193,431,193
conv1,3,7,1.0,10,11,10
layer4,3,7,0.9925650557620818,269,431,267
conv1,3,8,1.0,10,11,10
layer4,3,8,1.0,132,433,132
conv1,3,9,1.0,9,11,9
layer4,3,9,1.0,200,433,200
conv1,4,1,0.8888888888888888,10,9,8
layer4,4,1,1.0,267,241,241
conv1,4,2,1.0,10,11,10
layer4,4,2,1.0,211,267,211
conv1,4,3,1.0,10,11,10
layer4,4,3,0.9957264957264957,234,267,233
conv1,4,4,1.0,12,11,11
layer4,4,4,1.0,137,268,137
conv1,4,5,0.9166666666666666,12,12,11
layer4,4,5,1.0,220,268,220
conv1,4,6,1.0,15,13,13
layer4,4,6,0.9953703703703703,216,268,215
conv1,4,7,1.0,15,15,15
layer4,4,7,0.9678714859437751,249,269,241
conv1,4,8,1.0,16,15,15
layer4,4,8,0.9959839357429718,249,277,248
conv1,4,9,1.0,16,16,16
layer4,4,9,1.0,195,278,195
layer4,2,1,0.9310344827586207,29,46,27
layer4,2,2,0.851063829787234,47,48,40
layer4,2,3,0.9565217391304348,23,55,22
layer4,2,4,1.0,1,56,1
layer4,2,5,1.0,13,56,13
layer4,2,6,1.0,10,56,10
layer4,3,1,1.0,13,109,13
layer4,3,2,0.9174311926605505,117,109,100
layer4,3,4,1.0,3,126,3
layer4,3,5,1.0,3,126,3
layer4,3,7,0.9866666666666667,75,126,74
layer4,3,8,1.0,2,127,2
layer4,4,1,0.9298245614035088,57,60,53
layer4,4,2,1.0,28,64,28
layer4,4,3,0.984375,116,64,63
layer4,4,4,1.0,13,117,13
layer4,4,5,1.0,47,117,47
layer4,4,6,1.0,12,117,12
layer4,4,7,1.0,6,117,6
layer4,4,8,1.0,11,117,11
layer4,4,9,0.9770114942528736,87,117,85
layer4,2,1,1.0,2,5,2
layer4,2,2,1.0,6,5,5
layer4,2,5,0.5,2,6,1
layer4,3,1,0.9285714285714286,14,28,13
layer4,3,2,1.0,10,29,10
conv1,3,3,1.0,1,1,1
layer4,3,3,1.0,9,29,9
conv1,3,4,1.0,1,1,1
layer4,3,4,0.9375,16,29,15
conv1,3,5,1.0,1,1,1
conv1,3,6,1.0,1,1,1
layer4,3,6,1.0,12,30,12
conv1,3,7,1.0,1,1,1
layer4,3,7,1.0,5,30,5
conv1,3,8,1.0,1,1,1
layer4,3,8,1.0,4,30,4
conv1,3,9,1.0,1,1,1
layer4,3,9,1.0,6,30,6
conv1,4,1,1.0,2,3,2
layer4,4,1,1.0,8,45,8
conv1,4,2,1.0,2,3,2
layer4,4,2,1.0,21,45,21
conv1,4,3,1.0,2,3,2
layer4,4,3,1.0,7,45,7
conv1,4,4,1.0,2,3,2
layer4,4,4,1.0,15,45,15
conv1,4,5,1.0,1,3,1
layer4,4,5,1.0,22,45,22
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,2,45,2
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,6,45,6
conv1,4,8,1.0,2,3,2
layer4,4,8,0.8333333333333334,30,45,25
conv1,4,9,1.0,2,3,2
layer4,4,9,1.0,3,50,3
layer4,1,9,0.0,1,1,0
layer4,3,3,1.0,2,1,1
layer4,3,4,1.0,5,2,2
layer4,2,1,1.0,2,5,2
layer4,2,2,1.0,6,5,5
layer4,2,5,0.5,2,6,1
layer4,3,1,0.9285714285714286,14,28,13
layer4,3,2,1.0,10,29,10
conv1,3,3,1.0,1,1,1
layer4,3,3,1.0,9,29,9
conv1,3,4,1.0,1,1,1
layer4,3,4,0.9375,16,29,15
conv1,3,5,1.0,1,1,1
conv1,3,6,1.0,1,1,1
layer4,3,6,1.0,12,30,12
conv1,3,7,1.0,1,1,1
layer4,3,7,1.0,5,30,5
conv1,3,8,1.0,1,1,1
layer4,3,8,1.0,4,30,4
conv1,3,9,1.0,1,1,1
layer4,3,9,1.0,6,30,6
conv1,4,1,1.0,2,3,2
layer4,4,1,1.0,8,45,8
conv1,4,2,1.0,2,3,2
layer4,4,2,1.0,21,45,21
conv1,4,3,1.0,2,3,2
layer4,4,3,1.0,7,45,7
conv1,4,4,1.0,2,3,2
layer4,4,4,1.0,15,45,15
conv1,4,5,1.0,1,3,1
layer4,4,5,1.0,22,45,22
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,2,45,2
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,6,45,6
conv1,4,8,1.0,2,3,2
layer4,4,8,0.8333333333333334,30,45,25
conv1,4,9,1.0,2,3,2
layer4,4,9,1.0,3,50,3
layer4,1,9,0.0,1,1,0
layer4,3,3,1.0,2,1,1
layer4,3,4,1.0,5,2,2
layer4,0,1,1.0,1,92,1
layer4,0,2,0.75,20,92,15
layer4,1,1,0.75,12,8,6
layer4,1,2,1.0,116,14,14
layer4,1,3,1.0,31,116,31
layer4,1,4,0.9230769230769231,13,116,12
conv1,1,5,1.0,1,1,1
layer4,1,6,0.95,20,117,19
conv1,1,7,0.0,1,1,0
layer4,1,7,0.8305084745762712,157,118,98
conv1,1,8,0.5,2,2,1
layer4,1,8,1.0,33,177,33
conv1,1,9,1.0,1,3,1
layer4,1,9,0.8156028368794326,141,177,115
conv1,2,1,1.0,6,3,3
layer4,2,1,0.8758169934640523,157,153,134
conv1,2,2,1.0,7,6,6
layer4,2,2,0.8522727272727273,176,176,150
conv1,2,3,0.8571428571428571,8,7,6
layer4,2,3,1.0,77,202,77
conv1,2,4,1.0,9,9,9
conv1,2,5,0.8888888888888888,9,9,8
layer4,2,5,1.0,6,202,6
conv1,2,6,0.8888888888888888,9,10,8
layer4,2,6,1.0,23,202,23
conv1,2,7,1.0,8,11,8
conv1,2,8,0.9090909090909091,11,11,10
conv1,2,9,0.9166666666666666,12,12,11
layer4,2,9,1.0,5,202,5
conv1,3,1,1.0,12,12,12
layer4,3,1,0.9871794871794872,114,78,77
conv1,3,2,1.0,12,12,12
layer4,3,2,1.0,27,115,27
conv1,3,3,1.0,12,12,12
layer4,3,3,1.0,44,115,44
conv1,3,4,1.0,12,12,12
layer4,3,4,1.0,38,115,38
conv1,3,5,1.0,11,12,11
layer4,3,5,1.0,36,115,36
conv1,3,6,1.0,12,12,12
layer4,3,6,1.0,2,115,2
conv1,3,7,1.0,11,12,11
layer4,3,7,1.0,60,115,60
conv1,3,8,1.0,13,12,12
layer4,3,8,1.0,34,115,34
conv1,3,9,1.0,12,13,12
layer4,3,9,1.0,16,115,16
conv1,4,1,1.0,14,12,12
layer4,4,1,0.984375,89,64,63
conv1,4,2,1.0,13,14,13
layer4,4,2,0.9333333333333333,113,90,84
conv1,4,3,1.0,12,14,12
layer4,4,3,0.9560439560439561,91,119,87
conv1,4,4,0.9285714285714286,15,14,13
layer4,4,4,1.0,67,123,67
conv1,4,5,0.9333333333333333,15,16,14
layer4,4,5,1.0,47,123,47
conv1,4,6,1.0,15,17,15
layer4,4,6,0.9150943396226415,106,123,97
conv1,4,7,1.0,14,17,14
layer4,4,7,1.0,57,132,57
conv1,4,8,1.0,15,17,15
layer4,4,8,1.0,46,132,46
conv1,4,9,1.0,16,17,16
layer4,4,9,1.0,80,132,80
conv1,1,1,1.0,2,1,1
layer4,1,1,1.0,16,48,16
conv1,1,2,1.0,1,2,1
layer4,1,2,1.0,9,48,9
conv1,1,3,0.5,3,2,1
layer4,1,3,0.9166666666666666,24,48,22
conv1,1,4,0.75,4,4,3
layer4,1,4,1.0,11,50,11
conv1,1,5,0.8,5,5,4
layer4,1,5,0.8888888888888888,27,50,24
conv1,1,6,1.0,5,6,5
layer4,1,6,1.0,18,53,18
conv1,1,7,1.0,4,6,4
layer4,1,7,0.8055555555555556,36,53,29
conv1,1,8,1.0,4,6,4
layer4,1,8,0.972972972972973,37,60,36
conv1,1,9,1.0,9,6,6
layer4,1,9,0.975,40,61,39
conv1,2,1,1.0,5,6,5
layer4,2,1,0.9090909090909091,11,18,10
conv1,2,2,1.0,5,6,5
layer4,2,2,0.9411764705882353,17,19,16
conv1,2,3,1.0,6,6,6
layer4,2,3,0.95,20,20,19
conv1,2,4,1.0,5,6,5
layer4,2,4,1.0,8,21,8
conv1,2,5,1.0,6,6,6
layer4,2,5,0.95,20,21,19
conv1,2,6,1.0,5,6,5
layer4,2,6,0.95,20,22,19
conv1,2,7,1.0,4,6,4
layer4,2,7,1.0,9,23,9
conv1,2,8,1.0,6,6,6
layer4,2,8,0.9130434782608695,24,23,21
conv1,2,9,1.0,5,6,5
layer4,2,9,1.0,24,26,24
conv1,3,1,1.0,7,7,7
layer4,3,1,1.0,10,29,10
layer4,2,1,1.0,2,5,2
layer4,2,2,1.0,6,5,5
layer4,2,5,0.5,2,6,1
layer4,3,1,0.9285714285714286,14,28,13
layer4,3,2,1.0,10,29,10
conv1,3,3,1.0,1,1,1
layer4,3,3,1.0,9,29,9
conv1,3,4,1.0,1,1,1
layer4,3,4,0.9375,16,29,15
conv1,3,5,1.0,1,1,1
conv1,3,6,1.0,1,1,1
layer4,3,6,1.0,12,30,12
conv1,3,7,1.0,1,1,1
layer4,3,7,1.0,5,30,5
conv1,3,8,1.0,1,1,1
layer4,3,8,1.0,4,30,4
conv1,3,9,1.0,1,1,1
layer4,3,9,1.0,6,30,6
conv1,4,1,1.0,2,3,2
layer4,4,1,1.0,8,45,8
conv1,4,2,1.0,2,3,2
layer4,4,2,1.0,21,45,21
conv1,4,3,1.0,2,3,2
layer4,4,3,1.0,7,45,7
conv1,4,4,1.0,2,3,2
layer4,4,4,1.0,15,45,15
conv1,4,5,1.0,1,3,1
layer4,4,5,1.0,22,45,22
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,2,45,2
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,6,45,6
conv1,4,8,1.0,2,3,2
layer4,4,8,0.8333333333333334,30,45,25
conv1,4,9,1.0,2,3,2
layer4,4,9,1.0,3,50,3
layer4,1,9,0.0,1,1,0
layer4,3,3,1.0,2,1,1
layer4,3,4,1.0,5,2,2
layer4,0,1,1.0,1,92,1
layer4,0,2,0.75,20,92,15
layer4,1,1,0.75,12,8,6
layer4,1,2,1.0,116,14,14
layer4,1,3,1.0,31,116,31
layer4,1,4,0.9230769230769231,13,116,12
conv1,1,5,1.0,1,1,1
layer4,1,6,0.95,20,117,19
conv1,1,7,0.0,1,1,0
layer4,1,7,0.8305084745762712,157,118,98
conv1,1,8,0.5,2,2,1
layer4,1,8,1.0,33,177,33
conv1,1,9,1.0,1,3,1
layer4,1,9,0.8156028368794326,141,177,115
conv1,2,1,1.0,6,3,3
layer4,2,1,0.8758169934640523,157,153,134
conv1,2,2,1.0,7,6,6
layer4,2,2,0.8522727272727273,176,176,150
conv1,2,3,0.8571428571428571,8,7,6
layer4,2,3,1.0,77,202,77
conv1,2,4,1.0,9,9,9
conv1,2,5,0.8888888888888888,9,9,8
layer4,2,5,1.0,6,202,6
conv1,2,6,0.8888888888888888,9,10,8
layer4,2,6,1.0,23,202,23
conv1,2,7,1.0,8,11,8
conv1,2,8,0.9090909090909091,11,11,10
conv1,2,9,0.9166666666666666,12,12,11
layer4,2,9,1.0,5,202,5
conv1,3,1,1.0,12,12,12
layer4,3,1,0.9871794871794872,114,78,77
conv1,3,2,1.0,12,12,12
layer4,3,2,1.0,27,115,27
conv1,3,3,1.0,12,12,12
layer4,3,3,1.0,44,115,44
conv1,3,4,1.0,12,12,12
layer4,3,4,1.0,38,115,38
conv1,3,5,1.0,11,12,11
layer4,3,5,1.0,36,115,36
conv1,3,6,1.0,12,12,12
layer4,3,6,1.0,2,115,2
conv1,3,7,1.0,11,12,11
layer4,3,7,1.0,60,115,60
conv1,3,8,1.0,13,12,12
layer4,3,8,1.0,34,115,34
conv1,3,9,1.0,12,13,12
layer4,3,9,1.0,16,115,16
conv1,4,1,1.0,14,12,12
layer4,4,1,0.984375,89,64,63
conv1,4,2,1.0,13,14,13
layer4,4,2,0.9333333333333333,113,90,84
conv1,4,3,1.0,12,14,12
layer4,4,3,0.9560439560439561,91,119,87
conv1,4,4,0.9285714285714286,15,14,13
layer4,4,4,1.0,67,123,67
conv1,4,5,0.9333333333333333,15,16,14
layer4,4,5,1.0,47,123,47
conv1,4,6,1.0,15,17,15
layer4,4,6,0.9150943396226415,106,123,97
conv1,4,7,1.0,14,17,14
layer4,4,7,1.0,57,132,57
conv1,4,8,1.0,15,17,15
layer4,4,8,1.0,46,132,46
conv1,4,9,1.0,16,17,16
layer4,4,9,1.0,80,132,80
conv1,1,1,1.0,2,1,1
layer4,1,1,1.0,16,48,16
conv1,1,2,1.0,1,2,1
layer4,1,2,1.0,9,48,9
conv1,1,3,0.5,3,2,1
layer4,1,3,0.9166666666666666,24,48,22
conv1,1,4,0.75,4,4,3
layer4,1,4,1.0,11,50,11
conv1,1,5,0.8,5,5,4
layer4,1,5,0.8888888888888888,27,50,24
conv1,1,6,1.0,5,6,5
layer4,1,6,1.0,18,53,18
conv1,1,7,1.0,4,6,4
layer4,1,7,0.8055555555555556,36,53,29
conv1,1,8,1.0,4,6,4
layer4,1,8,0.972972972972973,37,60,36
conv1,1,9,1.0,9,6,6
layer4,1,9,0.975,40,61,39
conv1,2,1,1.0,5,6,5
layer4,2,1,0.9090909090909091,11,18,10
conv1,2,2,1.0,5,6,5
layer4,2,2,0.9411764705882353,17,19,16
conv1,2,3,1.0,6,6,6
layer4,2,3,0.95,20,20,19
conv1,2,4,1.0,5,6,5
layer4,2,4,1.0,8,21,8
conv1,2,5,1.0,6,6,6
layer4,2,5,0.95,20,21,19
conv1,2,6,1.0,5,6,5
layer4,2,6,0.95,20,22,19
conv1,2,7,1.0,4,6,4
layer4,2,7,1.0,9,23,9
conv1,2,8,1.0,6,6,6
layer4,2,8,0.9130434782608695,24,23,21
conv1,2,9,1.0,5,6,5
layer4,2,9,1.0,24,26,24
conv1,3,1,1.0,7,7,7
layer4,3,1,1.0,10,29,10
conv1,3,2,1.0,6,7,6
layer4,3,2,1.0,13,29,13
conv1,3,3,1.0,6,7,6
layer4,3,3,0.96,25,29,24
conv1,3,4,1.0,6,7,6
layer4,3,4,1.0,46,30,30
conv1,3,5,1.0,6,7,6
layer4,3,5,1.0,3,46,3
conv1,3,6,1.0,6,7,6
layer4,3,6,1.0,10,46,10
conv1,3,7,1.0,6,7,6
layer4,3,7,1.0,2,46,2
conv1,3,8,1.0,6,7,6
layer4,3,8,1.0,10,46,10
conv1,3,9,1.0,6,7,6
layer4,3,9,1.0,2,46,2
conv1,4,1,1.0,5,5,5
layer4,4,1,0.8421052631578947,19,19,16
conv1,4,2,1.0,5,5,5
layer4,4,2,0.9473684210526315,19,22,18
conv1,4,3,1.0,5,5,5
layer4,4,3,0.9523809523809523,21,23,20
conv1,4,4,1.0,5,5,5
layer4,4,4,0.9583333333333334,25,24,23
conv1,4,5,1.0,5,5,5
layer4,4,5,1.0,22,26,22
conv1,4,6,1.0,6,5,5
layer4,4,6,0.9615384615384616,27,26,25
conv1,4,7,1.0,6,6,6
layer4,4,7,1.0,23,28,23
conv1,4,8,1.0,5,6,5
layer4,4,8,0.9583333333333334,24,28,23
conv1,4,9,1.0,7,6,6
layer4,4,9,1.0,20,29,20
conv1,0,1,0.6666666666666666,4,3,2
layer4,0,1,0.9783783783783784,370,428,362
conv1,0,2,1.0,10,5,5
layer4,0,2,0.9923273657289002,391,436,388
conv1,0,3,0.7777777777777778,9,10,7
layer4,0,3,1.0,259,439,259
conv1,0,4,1.0,4,12,4
layer4,0,4,1.0,204,439,204
conv1,0,5,0.8571428571428571,7,12,6
layer4,0,5,1.0,174,439,174
conv1,0,6,0.8571428571428571,7,13,6
layer4,0,6,1.0,53,439,53
conv1,0,7,1.0,9,14,9
conv1,0,8,0.6428571428571429,16,14,9
conv1,0,9,0.9090909090909091,11,21,10
conv1,1,1,0.9166666666666666,20,12,11
layer4,1,1,1.0,209,408,209
conv1,1,2,0.9523809523809523,29,21,20
layer4,1,2,0.9877450980392157,452,408,403
conv1,1,3,0.875,24,30,21
layer4,1,3,1.0,342,457,342
conv1,1,4,0.9545454545454546,22,33,21
layer4,1,4,1.0,385,457,385
conv1,1,5,0.9655172413793104,29,34,28
layer4,1,5,1.0,356,457,356
conv1,1,6,0.9615384615384616,26,35,25
layer4,1,6,0.9946808510638298,376,457,374
conv1,1,7,0.9642857142857143,28,36,27
layer4,1,7,0.997737556561086,442,459,441
conv1,1,8,0.9583333333333334,24,37,23
layer4,1,8,1.0,390,460,390
conv1,1,9,1.0,26,38,26
layer4,1,9,0.9954233409610984,437,460,435
conv1,2,1,0.9583333333333334,24,26,23
layer4,2,1,0.985781990521327,422,423,416
conv1,2,2,0.9259259259259259,27,27,25
layer4,2,2,1.0,356,429,356
conv1,2,3,0.9615384615384616,26,29,25
layer4,2,3,1.0,138,429,138
conv1,2,4,0.9310344827586207,29,30,27
layer4,2,4,1.0,284,429,284
conv1,2,5,0.96875,33,32,31
layer4,2,5,0.9779411764705882,408,429,399
conv1,2,6,0.9032258064516129,31,34,28
layer4,2,6,1.0,224,438,224
conv1,2,7,1.0,29,37,29
layer4,2,7,1.0,185,438,185
conv1,2,8,1.0,28,37,28
layer4,2,8,1.0,73,438,73
conv1,2,9,1.0,29,37,29
layer4,2,9,0.9947089947089947,378,438,376
conv1,3,1,1.0,25,27,25
layer4,3,1,1.0,200,347,200
conv1,3,2,0.9259259259259259,29,27,25
layer4,3,2,1.0,303,347,303
conv1,3,3,1.0,27,31,27
layer4,3,3,1.0,281,347,281
conv1,3,4,1.0,27,31,27
layer4,3,4,0.962536023054755,352,347,334
conv1,3,5,1.0,27,31,27
layer4,3,5,0.9968944099378882,322,365,321
conv1,3,6,1.0,29,31,29
layer4,3,6,1.0,231,366,231
conv1,3,7,0.9354838709677419,32,31,29
layer4,3,7,0.9798270893371758,347,366,340
conv1,3,8,0.967741935483871,31,34,30
layer4,3,8,1.0,268,373,268
conv1,3,9,1.0,27,35,27
layer4,3,9,1.0,250,373,250
conv1,4,1,0.9642857142857143,28,28,27
layer4,4,1,0.9914529914529915,360,351,348
conv1,4,2,1.0,29,29,29
layer4,4,2,0.9972451790633609,378,363,362
conv1,4,3,1.0,28,29,28
layer4,4,3,1.0,295,379,295
conv1,4,4,1.0,28,29,28
layer4,4,4,1.0,354,379,354
conv1,4,5,1.0,29,29,29
layer4,4,5,1.0,304,379,304
conv1,4,6,1.0,32,29,29
layer4,4,6,1.0,321,379,321
conv1,4,7,0.96875,33,32,31
layer4,4,7,1.0,257,379,257
conv1,4,8,1.0,29,34,29
layer4,4,8,1.0,304,379,304
conv1,4,9,1.0,30,34,30
layer4,4,9,1.0,286,379,286
conv1,0,2,0.0,2,1,0
conv1,0,3,0.0,3,3,0
layer4,0,3,1.0,3,2,2
conv1,0,4,0.5,4,6,2
layer4,0,4,1.0,2,3,2
conv1,0,5,0.375,13,8,3
layer4,0,5,0.6666666666666666,3,3,2
conv1,0,6,0.8333333333333334,20,18,15
conv1,0,7,0.8,20,23,16
layer4,0,7,0.0,1,4,0
conv1,0,8,0.8636363636363636,22,27,19
conv1,0,9,0.9523809523809523,21,30,20
conv1,1,1,0.9130434782608695,23,25,21
conv1,1,2,0.9629629629629629,27,27,26
conv1,1,3,1.0,25,28,25
conv1,1,4,0.8846153846153846,26,28,23
conv1,1,5,1.0,25,31,25
conv1,1,6,1.0,23,31,23
conv1,1,7,1.0,26,31,26
conv1,1,8,1.0,24,31,24
conv1,1,9,0.9642857142857143,28,31,27
conv1,2,0,0.96,25,32,24
conv1,2,1,1.0,23,33,23
layer4,2,1,0.9807692307692307,52,115,51
conv1,2,2,0.9310344827586207,29,33,27
