model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ours_adam,5,avg,Class-IL,18.39
relu_0.2_ours_adam,5,avg,Task-IL,64.22
leaky_relu_0.3_ghada_sgd,1,0,Class-IL,66.7
leaky_relu_0.3_ghada_sgd,1,0,Task-IL,66.7
leaky_relu_0.3_ghada_sgd,1,avg,Class-IL,66.7
leaky_relu_0.3_ghada_sgd,1,avg,Task-IL,66.7
leaky_relu_0.3_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,2,0,Task-IL,69.8
leaky_relu_0.3_ghada_sgd,2,1,Class-IL,70.0
leaky_relu_0.3_ghada_sgd,2,1,Task-IL,70.0
leaky_relu_0.3_ghada_sgd,2,avg,Class-IL,35.0
leaky_relu_0.3_ghada_sgd,2,avg,Task-IL,69.9
leaky_relu_0.3_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,0,Task-IL,74.25
leaky_relu_0.3_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,1,Task-IL,68.89999999999999
leaky_relu_0.3_ghada_sgd,3,2,Class-IL,89.35
leaky_relu_0.3_ghada_sgd,3,2,Task-IL,89.35
leaky_relu_0.3_ghada_sgd,3,avg,Class-IL,29.78
leaky_relu_0.3_ghada_sgd,3,avg,Task-IL,77.5
leaky_relu_0.3_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,0,Task-IL,52.800000000000004
leaky_relu_0.3_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,1,Task-IL,61.35
leaky_relu_0.3_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,2,Task-IL,69.6
leaky_relu_0.3_ghada_sgd,4,3,Class-IL,95.39999999999999
leaky_relu_0.3_ghada_sgd,4,3,Task-IL,95.39999999999999
leaky_relu_0.3_ghada_sgd,4,avg,Class-IL,23.85
leaky_relu_0.3_ghada_sgd,4,avg,Task-IL,69.79
leaky_relu_0.3_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,0,Task-IL,52.800000000000004
leaky_relu_0.3_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,1,Task-IL,46.75
leaky_relu_0.3_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,2,Task-IL,50.14999999999999
leaky_relu_0.3_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,3,Task-IL,73.3
leaky_relu_0.3_ghada_sgd,5,4,Class-IL,93.89999999999999
leaky_relu_0.3_ghada_sgd,5,4,Task-IL,93.89999999999999
leaky_relu_0.3_ghada_sgd,5,avg,Class-IL,18.78
leaky_relu_0.3_ghada_sgd,5,avg,Task-IL,63.38
silu_0.2_ours_adam,1,0,Class-IL,94.8
silu_0.2_ours_adam,1,0,Task-IL,94.8
silu_0.2_ours_adam,1,avg,Class-IL,94.8
silu_0.2_ours_adam,1,avg,Task-IL,94.8
silu_0.2_ours_adam,2,0,Class-IL,0.0
silu_0.2_ours_adam,2,0,Task-IL,47.5
silu_0.2_ours_adam,2,1,Class-IL,83.6
silu_0.2_ours_adam,2,1,Task-IL,83.6
silu_0.2_ours_adam,2,avg,Class-IL,41.8
silu_0.2_ours_adam,2,avg,Task-IL,65.55
silu_0.2_ours_adam,3,0,Class-IL,0.0
silu_0.2_ours_adam,3,0,Task-IL,40.849999999999994
silu_0.2_ours_adam,3,1,Class-IL,0.0
silu_0.2_ours_adam,3,1,Task-IL,49.6
silu_0.2_ours_adam,3,2,Class-IL,90.8
silu_0.2_ours_adam,3,2,Task-IL,90.8
silu_0.2_ours_adam,3,avg,Class-IL,30.27
silu_0.2_ours_adam,3,avg,Task-IL,60.42
silu_0.2_ours_adam,4,0,Class-IL,0.0
silu_0.2_ours_adam,4,0,Task-IL,54.449999999999996
silu_0.2_ours_adam,4,1,Class-IL,0.0
silu_0.2_ours_adam,4,1,Task-IL,53.0
silu_0.2_ours_adam,4,2,Class-IL,0.0
silu_0.2_ours_adam,4,2,Task-IL,60.5
silu_0.2_ours_adam,4,3,Class-IL,94.6
silu_0.2_ours_adam,4,3,Task-IL,94.65
silu_0.2_ours_adam,4,avg,Class-IL,23.65
silu_0.2_ours_adam,4,avg,Task-IL,65.65
silu_0.2_ours_adam,5,0,Class-IL,0.0
silu_0.2_ours_adam,5,0,Task-IL,29.349999999999998
silu_0.2_ours_adam,5,1,Class-IL,0.0
silu_0.2_ours_adam,5,1,Task-IL,51.800000000000004
silu_0.2_ours_adam,5,2,Class-IL,0.0
silu_0.2_ours_adam,5,2,Task-IL,49.9
silu_0.2_ours_adam,5,3,Class-IL,0.0
silu_0.2_ours_adam,5,3,Task-IL,61.050000000000004
silu_0.2_ours_adam,5,4,Class-IL,95.1
silu_0.2_ours_adam,5,4,Task-IL,95.1
silu_0.2_ours_adam,5,avg,Class-IL,19.02
silu_0.2_ours_adam,5,avg,Task-IL,57.44
relu_0.2_ghada_sgd,1,0,Class-IL,83.2
relu_0.2_ghada_sgd,1,0,Task-IL,83.2
relu_0.2_ghada_sgd,1,avg,Class-IL,83.2
relu_0.2_ghada_sgd,1,avg,Task-IL,83.2
relu_0.2_ghada_sgd,2,0,Class-IL,0.0
relu_0.2_ghada_sgd,2,0,Task-IL,63.6
relu_0.2_ghada_sgd,2,1,Class-IL,79.0
relu_0.2_ghada_sgd,2,1,Task-IL,79.0
relu_0.2_ghada_sgd,2,avg,Class-IL,39.5
relu_0.2_ghada_sgd,2,avg,Task-IL,71.3
relu_0.2_ghada_sgd,3,0,Class-IL,0.0
relu_0.2_ghada_sgd,3,0,Task-IL,74.1
relu_0.2_ghada_sgd,3,1,Class-IL,0.0
relu_0.2_ghada_sgd,3,1,Task-IL,67.45
relu_0.2_ghada_sgd,3,2,Class-IL,90.55
relu_0.2_ghada_sgd,3,2,Task-IL,90.55
relu_0.2_ghada_sgd,3,avg,Class-IL,30.18
relu_0.2_ghada_sgd,3,avg,Task-IL,77.37
relu_0.2_ghada_sgd,4,0,Class-IL,0.0
relu_0.2_ghada_sgd,4,0,Task-IL,54.6
relu_0.2_ghada_sgd,4,1,Class-IL,0.0
relu_0.2_ghada_sgd,4,1,Task-IL,52.949999999999996
relu_0.2_ghada_sgd,4,2,Class-IL,0.0
relu_0.2_ghada_sgd,4,2,Task-IL,63.949999999999996
relu_0.2_ghada_sgd,4,3,Class-IL,96.0
relu_0.2_ghada_sgd,4,3,Task-IL,96.0
relu_0.2_ghada_sgd,4,avg,Class-IL,24.0
relu_0.2_ghada_sgd,4,avg,Task-IL,66.88
relu_0.2_ghada_sgd,5,0,Class-IL,0.0
relu_0.2_ghada_sgd,5,0,Task-IL,73.5
relu_0.2_ghada_sgd,5,1,Class-IL,0.0
relu_0.2_ghada_sgd,5,1,Task-IL,54.400000000000006
relu_0.2_ghada_sgd,5,2,Class-IL,0.0
relu_0.2_ghada_sgd,5,2,Task-IL,58.699999999999996
relu_0.2_ghada_sgd,5,3,Class-IL,0.0
relu_0.2_ghada_sgd,5,3,Task-IL,83.15
relu_0.2_ghada_sgd,5,4,Class-IL,91.05
relu_0.2_ghada_sgd,5,4,Task-IL,91.05
relu_0.2_ghada_sgd,5,avg,Class-IL,18.21
relu_0.2_ghada_sgd,5,avg,Task-IL,72.16
silu_0.3_ghada_adam,1,0,Class-IL,94.8
silu_0.3_ghada_adam,1,0,Task-IL,94.8
silu_0.3_ghada_adam,1,avg,Class-IL,94.8
silu_0.3_ghada_adam,1,avg,Task-IL,94.8
silu_0.3_ghada_adam,2,0,Class-IL,0.0
silu_0.3_ghada_adam,2,0,Task-IL,50.05
silu_0.3_ghada_adam,2,1,Class-IL,81.95
silu_0.3_ghada_adam,2,1,Task-IL,81.95
silu_0.3_ghada_adam,2,avg,Class-IL,40.98
silu_0.3_ghada_adam,2,avg,Task-IL,66.0
silu_0.3_ghada_adam,3,0,Class-IL,0.0
silu_0.3_ghada_adam,3,0,Task-IL,44.1
silu_0.3_ghada_adam,3,1,Class-IL,0.0
silu_0.3_ghada_adam,3,1,Task-IL,49.35
silu_0.3_ghada_adam,3,2,Class-IL,89.95
silu_0.3_ghada_adam,3,2,Task-IL,89.95
silu_0.3_ghada_adam,3,avg,Class-IL,29.98
silu_0.3_ghada_adam,3,avg,Task-IL,61.13
silu_0.3_ghada_adam,4,0,Class-IL,0.0
silu_0.3_ghada_adam,4,0,Task-IL,53.300000000000004
silu_0.3_ghada_adam,4,1,Class-IL,0.0
silu_0.3_ghada_adam,4,1,Task-IL,56.699999999999996
silu_0.3_ghada_adam,4,2,Class-IL,0.0
silu_0.3_ghada_adam,4,2,Task-IL,60.25
silu_0.3_ghada_adam,4,3,Class-IL,94.19999999999999
silu_0.3_ghada_adam,4,3,Task-IL,94.19999999999999
silu_0.3_ghada_adam,4,avg,Class-IL,23.55
silu_0.3_ghada_adam,4,avg,Task-IL,66.11
silu_0.3_ghada_adam,5,0,Class-IL,0.0
silu_0.3_ghada_adam,5,0,Task-IL,30.75
silu_0.3_ghada_adam,5,1,Class-IL,0.0
silu_0.3_ghada_adam,5,1,Task-IL,53.900000000000006
silu_0.3_ghada_adam,5,2,Class-IL,0.0
silu_0.3_ghada_adam,5,2,Task-IL,49.9
silu_0.3_ghada_adam,5,3,Class-IL,0.0
silu_0.3_ghada_adam,5,3,Task-IL,39.0
silu_0.3_ghada_adam,5,4,Class-IL,92.10000000000001
silu_0.3_ghada_adam,5,4,Task-IL,92.10000000000001
silu_0.3_ghada_adam,5,avg,Class-IL,18.42
silu_0.3_ghada_adam,5,avg,Task-IL,53.13
relu_0.3_ghada_adam,1,0,Class-IL,91.9
relu_0.3_ghada_adam,1,0,Task-IL,91.9
relu_0.3_ghada_adam,1,avg,Class-IL,91.9
relu_0.3_ghada_adam,1,avg,Task-IL,91.9
relu_0.3_ghada_adam,2,0,Class-IL,0.0
relu_0.3_ghada_adam,2,0,Task-IL,34.699999999999996
relu_0.3_ghada_adam,2,1,Class-IL,74.65
relu_0.3_ghada_adam,2,1,Task-IL,74.65
relu_0.3_ghada_adam,2,avg,Class-IL,37.33
relu_0.3_ghada_adam,2,avg,Task-IL,54.68
relu_0.3_ghada_adam,3,0,Class-IL,0.0
relu_0.3_ghada_adam,3,0,Task-IL,40.45
relu_0.3_ghada_adam,3,1,Class-IL,0.0
relu_0.3_ghada_adam,3,1,Task-IL,46.550000000000004
relu_0.3_ghada_adam,3,2,Class-IL,90.60000000000001
relu_0.3_ghada_adam,3,2,Task-IL,90.60000000000001
relu_0.3_ghada_adam,3,avg,Class-IL,30.2
relu_0.3_ghada_adam,3,avg,Task-IL,59.2
relu_0.3_ghada_adam,4,0,Class-IL,0.0
relu_0.3_ghada_adam,4,0,Task-IL,52.949999999999996
relu_0.3_ghada_adam,4,1,Class-IL,0.0
relu_0.3_ghada_adam,4,1,Task-IL,49.5
relu_0.3_ghada_adam,4,2,Class-IL,0.0
relu_0.3_ghada_adam,4,2,Task-IL,58.5
relu_0.3_ghada_adam,4,3,Class-IL,85.5
relu_0.3_ghada_adam,4,3,Task-IL,85.5
relu_0.3_ghada_adam,4,avg,Class-IL,21.38
relu_0.3_ghada_adam,4,avg,Task-IL,61.61
