model,num_tasks_seen,task,metric_type,accuracy
leaky_relu_0.2_ours_adam,3,0,Task-IL,64.45
leaky_relu_0.2_ours_adam,3,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,3,1,Task-IL,46.25
leaky_relu_0.2_ours_adam,3,2,Class-IL,91.0
leaky_relu_0.2_ours_adam,3,2,Task-IL,91.0
leaky_relu_0.2_ours_adam,3,avg,Class-IL,30.33
leaky_relu_0.2_ours_adam,3,avg,Task-IL,67.23
leaky_relu_0.2_ours_adam,4,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,0,Task-IL,44.5
leaky_relu_0.2_ours_adam,4,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,1,Task-IL,45.7
leaky_relu_0.2_ours_adam,4,2,Class-IL,0.0
leaky_relu_0.2_ours_adam,4,2,Task-IL,59.550000000000004
leaky_relu_0.2_ours_adam,4,3,Class-IL,95.8
leaky_relu_0.2_ours_adam,4,3,Task-IL,95.8
leaky_relu_0.2_ours_adam,4,avg,Class-IL,23.95
leaky_relu_0.2_ours_adam,4,avg,Task-IL,61.39
leaky_relu_0.2_ours_adam,5,0,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,0,Task-IL,79.55
leaky_relu_0.2_ours_adam,5,1,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,1,Task-IL,45.5
leaky_relu_0.2_ours_adam,5,2,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,2,Task-IL,56.65
leaky_relu_0.2_ours_adam,5,3,Class-IL,0.0
leaky_relu_0.2_ours_adam,5,3,Task-IL,46.150000000000006
leaky_relu_0.2_ours_adam,5,4,Class-IL,95.05
leaky_relu_0.2_ours_adam,5,4,Task-IL,95.05
leaky_relu_0.2_ours_adam,5,avg,Class-IL,19.01
leaky_relu_0.2_ours_adam,5,avg,Task-IL,64.58
leaky_relu_0.3_ours_sgd,1,0,Class-IL,90.95
leaky_relu_0.3_ours_sgd,1,0,Task-IL,90.95
leaky_relu_0.3_ours_sgd,1,avg,Class-IL,90.95
leaky_relu_0.3_ours_sgd,1,avg,Task-IL,90.95
leaky_relu_0.3_ours_sgd,2,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,2,0,Task-IL,74.4
leaky_relu_0.3_ours_sgd,2,1,Class-IL,79.5
leaky_relu_0.3_ours_sgd,2,1,Task-IL,79.5
leaky_relu_0.3_ours_sgd,2,avg,Class-IL,39.75
leaky_relu_0.3_ours_sgd,2,avg,Task-IL,76.95
leaky_relu_0.3_ours_sgd,3,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,3,0,Task-IL,72.8
leaky_relu_0.3_ours_sgd,3,1,Class-IL,0.0
leaky_relu_0.3_ours_sgd,3,1,Task-IL,67.80000000000001
leaky_relu_0.3_ours_sgd,3,2,Class-IL,88.14999999999999
leaky_relu_0.3_ours_sgd,3,2,Task-IL,88.14999999999999
leaky_relu_0.3_ours_sgd,3,avg,Class-IL,29.38
leaky_relu_0.3_ours_sgd,3,avg,Task-IL,76.25
leaky_relu_0.3_ours_sgd,4,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,0,Task-IL,75.2
leaky_relu_0.3_ours_sgd,4,1,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,1,Task-IL,63.5
leaky_relu_0.3_ours_sgd,4,2,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,2,Task-IL,67.25
leaky_relu_0.3_ours_sgd,4,3,Class-IL,96.45
leaky_relu_0.3_ours_sgd,4,3,Task-IL,96.45
leaky_relu_0.3_ours_sgd,4,avg,Class-IL,24.11
leaky_relu_0.3_ours_sgd,4,avg,Task-IL,75.6
leaky_relu_0.3_ours_sgd,5,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,0,Task-IL,62.9
leaky_relu_0.3_ours_sgd,5,1,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,1,Task-IL,61.7
leaky_relu_0.3_ours_sgd,5,2,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,2,Task-IL,54.949999999999996
leaky_relu_0.3_ours_sgd,5,3,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,3,Task-IL,71.8
leaky_relu_0.3_ours_sgd,5,4,Class-IL,94.3
leaky_relu_0.3_ours_sgd,5,4,Task-IL,94.3
leaky_relu_0.3_ours_sgd,5,avg,Class-IL,18.86
leaky_relu_0.3_ours_sgd,5,avg,Task-IL,69.13
silu_0.2_ours_adam,1,0,Class-IL,96.0
silu_0.2_ours_adam,1,0,Task-IL,96.0
silu_0.2_ours_adam,1,avg,Class-IL,96.0
silu_0.2_ours_adam,1,avg,Task-IL,96.0
silu_0.2_ours_adam,2,0,Class-IL,0.0
silu_0.2_ours_adam,2,0,Task-IL,68.15
silu_0.2_ours_adam,2,1,Class-IL,81.69999999999999
silu_0.2_ours_adam,2,1,Task-IL,81.69999999999999
silu_0.2_ours_adam,2,avg,Class-IL,40.85
silu_0.2_ours_adam,2,avg,Task-IL,74.92
silu_0.2_ours_adam,3,0,Class-IL,0.0
silu_0.2_ours_adam,3,0,Task-IL,56.45
silu_0.2_ours_adam,3,1,Class-IL,0.0
silu_0.2_ours_adam,3,1,Task-IL,51.55
silu_0.2_ours_adam,3,2,Class-IL,91.55
silu_0.2_ours_adam,3,2,Task-IL,91.55
silu_0.2_ours_adam,3,avg,Class-IL,30.52
silu_0.2_ours_adam,3,avg,Task-IL,66.52
silu_0.2_ours_adam,4,0,Class-IL,0.0
silu_0.2_ours_adam,4,0,Task-IL,50.6
silu_0.2_ours_adam,4,1,Class-IL,0.0
silu_0.2_ours_adam,4,1,Task-IL,50.0
silu_0.2_ours_adam,4,2,Class-IL,0.0
silu_0.2_ours_adam,4,2,Task-IL,54.300000000000004
silu_0.2_ours_adam,4,3,Class-IL,95.85000000000001
silu_0.2_ours_adam,4,3,Task-IL,95.85000000000001
silu_0.2_ours_adam,4,avg,Class-IL,23.96
silu_0.2_ours_adam,4,avg,Task-IL,62.69
silu_0.2_ours_adam,5,0,Class-IL,0.0
silu_0.2_ours_adam,5,0,Task-IL,74.0
silu_0.2_ours_adam,5,1,Class-IL,0.0
silu_0.2_ours_adam,5,1,Task-IL,53.949999999999996
silu_0.2_ours_adam,5,2,Class-IL,0.0
silu_0.2_ours_adam,5,2,Task-IL,47.9
silu_0.2_ours_adam,5,3,Class-IL,3.75
silu_0.2_ours_adam,5,3,Task-IL,58.45
silu_0.2_ours_adam,5,4,Class-IL,60.8
silu_0.2_ours_adam,5,4,Task-IL,93.5
silu_0.2_ours_adam,5,avg,Class-IL,12.91
silu_0.2_ours_adam,5,avg,Task-IL,65.56
relu_0.3_ours_sgd,1,0,Class-IL,93.5
relu_0.3_ours_sgd,1,0,Task-IL,93.5
relu_0.3_ours_sgd,1,avg,Class-IL,93.5
relu_0.3_ours_sgd,1,avg,Task-IL,93.5
relu_0.3_ours_sgd,2,0,Class-IL,0.0
relu_0.3_ours_sgd,2,0,Task-IL,72.6
relu_0.3_ours_sgd,2,1,Class-IL,75.14999999999999
relu_0.3_ours_sgd,2,1,Task-IL,75.14999999999999
relu_0.3_ours_sgd,2,avg,Class-IL,37.57
relu_0.3_ours_sgd,2,avg,Task-IL,73.88
relu_0.3_ours_sgd,3,0,Class-IL,0.0
relu_0.3_ours_sgd,3,0,Task-IL,64.14999999999999
relu_0.3_ours_sgd,3,1,Class-IL,0.0
relu_0.3_ours_sgd,3,1,Task-IL,64.60000000000001
relu_0.3_ours_sgd,3,2,Class-IL,86.8
relu_0.3_ours_sgd,3,2,Task-IL,86.8
relu_0.3_ours_sgd,3,avg,Class-IL,28.93
relu_0.3_ours_sgd,3,avg,Task-IL,71.85
relu_0.3_ours_sgd,4,0,Class-IL,0.0
relu_0.3_ours_sgd,4,0,Task-IL,59.050000000000004
relu_0.3_ours_sgd,4,1,Class-IL,0.0
relu_0.3_ours_sgd,4,1,Task-IL,61.550000000000004
relu_0.3_ours_sgd,4,2,Class-IL,0.0
relu_0.3_ours_sgd,4,2,Task-IL,77.75
relu_0.3_ours_sgd,4,3,Class-IL,95.45
relu_0.3_ours_sgd,4,3,Task-IL,95.45
relu_0.3_ours_sgd,4,avg,Class-IL,23.86
relu_0.3_ours_sgd,4,avg,Task-IL,73.45
relu_0.3_ours_sgd,5,0,Class-IL,0.0
relu_0.3_ours_sgd,5,0,Task-IL,65.3
relu_0.3_ours_sgd,5,1,Class-IL,0.0
relu_0.3_ours_sgd,5,1,Task-IL,56.49999999999999
relu_0.3_ours_sgd,5,2,Class-IL,0.0
relu_0.3_ours_sgd,5,2,Task-IL,55.1
relu_0.3_ours_sgd,5,3,Class-IL,0.0
relu_0.3_ours_sgd,5,3,Task-IL,76.5
relu_0.3_ours_sgd,5,4,Class-IL,91.10000000000001
relu_0.3_ours_sgd,5,4,Task-IL,91.10000000000001
relu_0.3_ours_sgd,5,avg,Class-IL,18.22
relu_0.3_ours_sgd,5,avg,Task-IL,68.9
leaky_relu_0.2_ghada_adam,1,0,Class-IL,94.05
leaky_relu_0.2_ghada_adam,1,0,Task-IL,94.05
leaky_relu_0.2_ghada_adam,1,avg,Class-IL,94.05
leaky_relu_0.2_ghada_adam,1,avg,Task-IL,94.05
leaky_relu_0.2_ghada_adam,2,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,2,0,Task-IL,67.80000000000001
leaky_relu_0.2_ghada_adam,2,1,Class-IL,83.45
leaky_relu_0.2_ghada_adam,2,1,Task-IL,83.45
leaky_relu_0.2_ghada_adam,2,avg,Class-IL,41.72
leaky_relu_0.2_ghada_adam,2,avg,Task-IL,75.62
leaky_relu_0.2_ghada_adam,3,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,3,0,Task-IL,64.45
leaky_relu_0.2_ghada_adam,3,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,3,1,Task-IL,46.25
leaky_relu_0.2_ghada_adam,3,2,Class-IL,91.0
leaky_relu_0.2_ghada_adam,3,2,Task-IL,91.0
leaky_relu_0.2_ghada_adam,3,avg,Class-IL,30.33
leaky_relu_0.2_ghada_adam,3,avg,Task-IL,67.23
leaky_relu_0.2_ghada_adam,4,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,0,Task-IL,44.5
leaky_relu_0.2_ghada_adam,4,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,1,Task-IL,45.7
leaky_relu_0.2_ghada_adam,4,2,Class-IL,0.0
leaky_relu_0.2_ghada_adam,4,2,Task-IL,59.550000000000004
leaky_relu_0.2_ghada_adam,4,3,Class-IL,95.8
leaky_relu_0.2_ghada_adam,4,3,Task-IL,95.8
leaky_relu_0.2_ghada_adam,4,avg,Class-IL,23.95
leaky_relu_0.2_ghada_adam,4,avg,Task-IL,61.39
leaky_relu_0.2_ghada_adam,5,0,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,0,Task-IL,79.55
leaky_relu_0.2_ghada_adam,5,1,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,1,Task-IL,45.5
leaky_relu_0.2_ghada_adam,5,2,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,2,Task-IL,56.65
leaky_relu_0.2_ghada_adam,5,3,Class-IL,0.0
leaky_relu_0.2_ghada_adam,5,3,Task-IL,46.150000000000006
leaky_relu_0.2_ghada_adam,5,4,Class-IL,95.05
leaky_relu_0.2_ghada_adam,5,4,Task-IL,95.05
leaky_relu_0.2_ghada_adam,5,avg,Class-IL,19.01
leaky_relu_0.2_ghada_adam,5,avg,Task-IL,64.58
silu_0.2_ghada_sgd,1,0,Class-IL,95.39999999999999
silu_0.2_ghada_sgd,1,0,Task-IL,95.39999999999999
silu_0.2_ghada_sgd,1,avg,Class-IL,95.4
silu_0.2_ghada_sgd,1,avg,Task-IL,95.4
silu_0.2_ghada_sgd,2,0,Class-IL,0.0
silu_0.2_ghada_sgd,2,0,Task-IL,79.10000000000001
silu_0.2_ghada_sgd,2,1,Class-IL,70.05
silu_0.2_ghada_sgd,2,1,Task-IL,70.05
silu_0.2_ghada_sgd,2,avg,Class-IL,35.02
silu_0.2_ghada_sgd,2,avg,Task-IL,74.58
silu_0.2_ghada_sgd,3,0,Class-IL,0.0
silu_0.2_ghada_sgd,3,0,Task-IL,71.85000000000001
silu_0.2_ghada_sgd,3,1,Class-IL,0.0
silu_0.2_ghada_sgd,3,1,Task-IL,69.95
silu_0.2_ghada_sgd,3,2,Class-IL,91.75
silu_0.2_ghada_sgd,3,2,Task-IL,91.75
silu_0.2_ghada_sgd,3,avg,Class-IL,30.58
silu_0.2_ghada_sgd,3,avg,Task-IL,77.85
silu_0.2_ghada_sgd,4,0,Class-IL,0.0
silu_0.2_ghada_sgd,4,0,Task-IL,69.39999999999999
silu_0.2_ghada_sgd,4,1,Class-IL,0.0
silu_0.2_ghada_sgd,4,1,Task-IL,63.74999999999999
silu_0.2_ghada_sgd,4,2,Class-IL,0.0
silu_0.2_ghada_sgd,4,2,Task-IL,80.15
silu_0.2_ghada_sgd,4,3,Class-IL,97.15
silu_0.2_ghada_sgd,4,3,Task-IL,97.15
silu_0.2_ghada_sgd,4,avg,Class-IL,24.29
silu_0.2_ghada_sgd,4,avg,Task-IL,77.61
silu_0.2_ghada_sgd,5,0,Class-IL,0.0
silu_0.2_ghada_sgd,5,0,Task-IL,71.85000000000001
silu_0.2_ghada_sgd,5,1,Class-IL,0.0
silu_0.2_ghada_sgd,5,1,Task-IL,64.8
silu_0.2_ghada_sgd,5,2,Class-IL,0.0
silu_0.2_ghada_sgd,5,2,Task-IL,67.55
silu_0.2_ghada_sgd,5,3,Class-IL,0.0
silu_0.2_ghada_sgd,5,3,Task-IL,78.9
silu_0.2_ghada_sgd,5,4,Class-IL,92.60000000000001
silu_0.2_ghada_sgd,5,4,Task-IL,92.60000000000001
silu_0.2_ghada_sgd,5,avg,Class-IL,18.52
silu_0.2_ghada_sgd,5,avg,Task-IL,75.14
leaky_relu_0.3_ghada_sgd,1,0,Class-IL,90.95
leaky_relu_0.3_ghada_sgd,1,0,Task-IL,90.95
leaky_relu_0.3_ghada_sgd,1,avg,Class-IL,90.95
leaky_relu_0.3_ghada_sgd,1,avg,Task-IL,90.95
leaky_relu_0.3_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,2,0,Task-IL,74.15
leaky_relu_0.3_ghada_sgd,2,1,Class-IL,78.35
leaky_relu_0.3_ghada_sgd,2,1,Task-IL,78.35
leaky_relu_0.3_ghada_sgd,2,avg,Class-IL,39.17
leaky_relu_0.3_ghada_sgd,2,avg,Task-IL,76.25
leaky_relu_0.3_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,0,Task-IL,72.25
leaky_relu_0.3_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,1,Task-IL,68.0
leaky_relu_0.3_ghada_sgd,3,2,Class-IL,89.45
leaky_relu_0.3_ghada_sgd,3,2,Task-IL,89.45
leaky_relu_0.3_ghada_sgd,3,avg,Class-IL,29.82
leaky_relu_0.3_ghada_sgd,3,avg,Task-IL,76.57
leaky_relu_0.3_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,0,Task-IL,67.2
leaky_relu_0.3_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,1,Task-IL,70.19999999999999
leaky_relu_0.3_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,2,Task-IL,81.69999999999999
leaky_relu_0.3_ghada_sgd,4,3,Class-IL,96.89999999999999
leaky_relu_0.3_ghada_sgd,4,3,Task-IL,96.89999999999999
leaky_relu_0.3_ghada_sgd,4,avg,Class-IL,24.22
leaky_relu_0.3_ghada_sgd,4,avg,Task-IL,79.0
leaky_relu_0.3_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,0,Task-IL,68.0
leaky_relu_0.3_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,1,Task-IL,60.5
leaky_relu_0.3_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,2,Task-IL,67.0
leaky_relu_0.3_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,3,Task-IL,79.25
leaky_relu_0.3_ghada_sgd,5,4,Class-IL,92.35
leaky_relu_0.3_ghada_sgd,5,4,Task-IL,92.35
leaky_relu_0.3_ghada_sgd,5,avg,Class-IL,18.47
leaky_relu_0.3_ghada_sgd,5,avg,Task-IL,73.42
01_baseline_sgd_relu,1,0,Class-IL,90.95
01_baseline_sgd_relu,1,0,Task-IL,90.95
01_baseline_sgd_relu,1,avg,Class-IL,90.95
01_baseline_sgd_relu,1,avg,Task-IL,90.95
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,74.55000000000001
01_baseline_sgd_relu,2,1,Class-IL,80.2
01_baseline_sgd_relu,2,1,Task-IL,80.2
01_baseline_sgd_relu,2,avg,Class-IL,40.1
01_baseline_sgd_relu,2,avg,Task-IL,77.38
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,72.85000000000001
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,66.75
01_baseline_sgd_relu,3,2,Class-IL,89.2
01_baseline_sgd_relu,3,2,Task-IL,89.2
01_baseline_sgd_relu,3,avg,Class-IL,29.73
01_baseline_sgd_relu,3,avg,Task-IL,76.27
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,61.75000000000001
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,68.7
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,81.39999999999999
01_baseline_sgd_relu,4,3,Class-IL,96.2
01_baseline_sgd_relu,4,3,Task-IL,96.2
01_baseline_sgd_relu,4,avg,Class-IL,24.05
01_baseline_sgd_relu,4,avg,Task-IL,77.01
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,69.0
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,64.45
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,58.75
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,75.2
01_baseline_sgd_relu,5,4,Class-IL,94.65
01_baseline_sgd_relu,5,4,Task-IL,94.65
01_baseline_sgd_relu,5,avg,Class-IL,18.93
01_baseline_sgd_relu,5,avg,Task-IL,72.41
leaky_relu_0.2_ours_sgd,1,0,Class-IL,90.95
leaky_relu_0.2_ours_sgd,1,0,Task-IL,90.95
leaky_relu_0.2_ours_sgd,1,avg,Class-IL,90.95
leaky_relu_0.2_ours_sgd,1,avg,Task-IL,90.95
leaky_relu_0.2_ours_sgd,2,0,Class-IL,0.0
leaky_relu_0.2_ours_sgd,2,0,Task-IL,74.55000000000001
leaky_relu_0.2_ours_sgd,2,1,Class-IL,80.2
leaky_relu_0.2_ours_sgd,2,1,Task-IL,80.2
leaky_relu_0.2_ours_sgd,2,avg,Class-IL,40.1
leaky_relu_0.2_ours_sgd,2,avg,Task-IL,77.38
leaky_relu_0.2_ours_sgd,3,0,Class-IL,0.0
leaky_relu_0.2_ours_sgd,3,0,Task-IL,72.85000000000001
leaky_relu_0.2_ours_sgd,3,1,Class-IL,0.0
leaky_relu_0.2_ours_sgd,3,1,Task-IL,66.75
leaky_relu_0.2_ours_sgd,3,2,Class-IL,89.2
leaky_relu_0.2_ours_sgd,3,2,Task-IL,89.2
leaky_relu_0.2_ours_sgd,3,avg,Class-IL,29.73
leaky_relu_0.2_ours_sgd,3,avg,Task-IL,76.27
leaky_relu_0.2_ours_sgd,4,0,Class-IL,0.0
leaky_relu_0.2_ours_sgd,4,0,Task-IL,61.8
leaky_relu_0.2_ours_sgd,4,1,Class-IL,0.0
leaky_relu_0.2_ours_sgd,4,1,Task-IL,68.7
leaky_relu_0.2_ours_sgd,4,2,Class-IL,0.0
leaky_relu_0.2_ours_sgd,4,2,Task-IL,81.39999999999999
leaky_relu_0.2_ours_sgd,4,3,Class-IL,96.2
leaky_relu_0.2_ours_sgd,4,3,Task-IL,96.2
leaky_relu_0.2_ours_sgd,4,avg,Class-IL,24.05
leaky_relu_0.2_ours_sgd,4,avg,Task-IL,77.02
leaky_relu_0.2_ours_sgd,5,0,Class-IL,0.0
leaky_relu_0.2_ours_sgd,5,0,Task-IL,70.05
leaky_relu_0.2_ours_sgd,5,1,Class-IL,0.0
leaky_relu_0.2_ours_sgd,5,1,Task-IL,64.55
leaky_relu_0.2_ours_sgd,5,2,Class-IL,0.0
leaky_relu_0.2_ours_sgd,5,2,Task-IL,58.4
leaky_relu_0.2_ours_sgd,5,3,Class-IL,0.0
leaky_relu_0.2_ours_sgd,5,3,Task-IL,75.55
leaky_relu_0.2_ours_sgd,5,4,Class-IL,94.25
leaky_relu_0.2_ours_sgd,5,4,Task-IL,94.25
leaky_relu_0.2_ours_sgd,5,avg,Class-IL,18.85
leaky_relu_0.2_ours_sgd,5,avg,Task-IL,72.56
silu_0.2_ghada_adam,1,0,Class-IL,96.0
silu_0.2_ghada_adam,1,0,Task-IL,96.0
silu_0.2_ghada_adam,1,avg,Class-IL,96.0
silu_0.2_ghada_adam,1,avg,Task-IL,96.0
silu_0.2_ghada_adam,2,0,Class-IL,0.0
silu_0.2_ghada_adam,2,0,Task-IL,68.15
silu_0.2_ghada_adam,2,1,Class-IL,81.69999999999999
silu_0.2_ghada_adam,2,1,Task-IL,81.69999999999999
silu_0.2_ghada_adam,2,avg,Class-IL,40.85
silu_0.2_ghada_adam,2,avg,Task-IL,74.92
silu_0.2_ghada_adam,3,0,Class-IL,0.0
silu_0.2_ghada_adam,3,0,Task-IL,56.45
silu_0.2_ghada_adam,3,1,Class-IL,0.0
silu_0.2_ghada_adam,3,1,Task-IL,51.55
silu_0.2_ghada_adam,3,2,Class-IL,91.55
silu_0.2_ghada_adam,3,2,Task-IL,91.55
silu_0.2_ghada_adam,3,avg,Class-IL,30.52
silu_0.2_ghada_adam,3,avg,Task-IL,66.52
silu_0.2_ghada_adam,4,0,Class-IL,0.0
silu_0.2_ghada_adam,4,0,Task-IL,50.6
silu_0.2_ghada_adam,4,1,Class-IL,0.0
silu_0.2_ghada_adam,4,1,Task-IL,50.0
silu_0.2_ghada_adam,4,2,Class-IL,0.0
silu_0.2_ghada_adam,4,2,Task-IL,54.300000000000004
silu_0.2_ghada_adam,4,3,Class-IL,95.85000000000001
silu_0.2_ghada_adam,4,3,Task-IL,95.85000000000001
silu_0.2_ghada_adam,4,avg,Class-IL,23.96
silu_0.2_ghada_adam,4,avg,Task-IL,62.69
silu_0.2_ghada_adam,5,0,Class-IL,0.0
silu_0.2_ghada_adam,5,0,Task-IL,74.0
silu_0.2_ghada_adam,5,1,Class-IL,0.0
silu_0.2_ghada_adam,5,1,Task-IL,53.949999999999996
silu_0.2_ghada_adam,5,2,Class-IL,0.0
silu_0.2_ghada_adam,5,2,Task-IL,47.9
silu_0.2_ghada_adam,5,3,Class-IL,3.75
silu_0.2_ghada_adam,5,3,Task-IL,58.45
silu_0.2_ghada_adam,5,4,Class-IL,60.8
silu_0.2_ghada_adam,5,4,Task-IL,93.5
silu_0.2_ghada_adam,5,avg,Class-IL,12.91
silu_0.2_ghada_adam,5,avg,Task-IL,65.56
relu_0.2_ghada_adam,1,0,Class-IL,94.65
relu_0.2_ghada_adam,1,0,Task-IL,94.65
relu_0.2_ghada_adam,1,avg,Class-IL,94.65
relu_0.2_ghada_adam,1,avg,Task-IL,94.65
relu_0.2_ghada_adam,2,0,Class-IL,0.0
relu_0.2_ghada_adam,2,0,Task-IL,54.449999999999996
relu_0.2_ghada_adam,2,1,Class-IL,82.45
relu_0.2_ghada_adam,2,1,Task-IL,82.45
relu_0.2_ghada_adam,2,avg,Class-IL,41.22
relu_0.2_ghada_adam,2,avg,Task-IL,68.45
relu_0.2_ghada_adam,3,0,Class-IL,0.0
relu_0.2_ghada_adam,3,0,Task-IL,53.55
relu_0.2_ghada_adam,3,1,Class-IL,0.0
relu_0.2_ghada_adam,3,1,Task-IL,47.449999999999996
relu_0.2_ghada_adam,3,2,Class-IL,91.45
relu_0.2_ghada_adam,3,2,Task-IL,91.45
relu_0.2_ghada_adam,3,avg,Class-IL,30.48
relu_0.2_ghada_adam,3,avg,Task-IL,64.15
relu_0.2_ghada_adam,4,0,Class-IL,0.0
relu_0.2_ghada_adam,4,0,Task-IL,51.65
