task,layer,inactive_count,epoch,model
1,layer3,3,5,relu_0.05_win5_method2_sgd
1,layer4,8,5,relu_0.05_win5_method2_sgd
1,conv1,1,6,relu_0.05_win5_method2_sgd
1,layer1,1,6,relu_0.05_win5_method2_sgd
1,layer2,2,6,relu_0.05_win5_method2_sgd
1,layer3,2,6,relu_0.05_win5_method2_sgd
1,layer4,29,6,relu_0.05_win5_method2_sgd
1,conv1,1,7,relu_0.05_win5_method2_sgd
1,layer1,1,7,relu_0.05_win5_method2_sgd
1,layer2,1,7,relu_0.05_win5_method2_sgd
1,layer3,3,7,relu_0.05_win5_method2_sgd
1,layer4,11,7,relu_0.05_win5_method2_sgd
1,conv1,3,8,relu_0.05_win5_method2_sgd
1,layer1,1,8,relu_0.05_win5_method2_sgd
1,layer2,3,8,relu_0.05_win5_method2_sgd
1,layer3,1,8,relu_0.05_win5_method2_sgd
1,layer4,15,8,relu_0.05_win5_method2_sgd
1,conv1,1,9,relu_0.05_win5_method2_sgd
1,layer1,2,9,relu_0.05_win5_method2_sgd
1,layer2,4,9,relu_0.05_win5_method2_sgd
1,layer3,2,9,relu_0.05_win5_method2_sgd
1,layer4,16,9,relu_0.05_win5_method2_sgd
2,conv1,2,0,relu_0.05_win5_method2_sgd
2,layer1,2,0,relu_0.05_win5_method2_sgd
2,layer2,1,0,relu_0.05_win5_method2_sgd
2,layer3,2,0,relu_0.05_win5_method2_sgd
2,layer4,29,0,relu_0.05_win5_method2_sgd
2,conv1,1,1,relu_0.05_win5_method2_sgd
2,layer1,2,1,relu_0.05_win5_method2_sgd
2,layer2,3,1,relu_0.05_win5_method2_sgd
2,layer3,6,1,relu_0.05_win5_method2_sgd
2,layer4,15,1,relu_0.05_win5_method2_sgd
2,conv1,1,2,relu_0.05_win5_method2_sgd
2,layer1,2,2,relu_0.05_win5_method2_sgd
2,layer2,1,2,relu_0.05_win5_method2_sgd
2,layer3,3,2,relu_0.05_win5_method2_sgd
2,layer4,10,2,relu_0.05_win5_method2_sgd
2,conv1,1,3,relu_0.05_win5_method2_sgd
2,layer1,1,3,relu_0.05_win5_method2_sgd
2,layer2,1,3,relu_0.05_win5_method2_sgd
2,layer3,4,3,relu_0.05_win5_method2_sgd
2,layer4,31,3,relu_0.05_win5_method2_sgd
2,conv1,2,4,relu_0.05_win5_method2_sgd
2,layer1,1,4,relu_0.05_win5_method2_sgd
2,layer2,1,4,relu_0.05_win5_method2_sgd
2,layer3,3,4,relu_0.05_win5_method2_sgd
2,layer4,16,4,relu_0.05_win5_method2_sgd
2,conv1,1,5,relu_0.05_win5_method2_sgd
2,layer1,4,5,relu_0.05_win5_method2_sgd
2,layer2,1,5,relu_0.05_win5_method2_sgd
2,layer3,1,5,relu_0.05_win5_method2_sgd
2,layer4,13,5,relu_0.05_win5_method2_sgd
2,conv1,1,6,relu_0.05_win5_method2_sgd
2,layer1,1,6,relu_0.05_win5_method2_sgd
2,layer2,1,6,relu_0.05_win5_method2_sgd
2,layer3,1,6,relu_0.05_win5_method2_sgd
2,layer4,15,6,relu_0.05_win5_method2_sgd
2,conv1,2,7,relu_0.05_win5_method2_sgd
2,layer1,1,7,relu_0.05_win5_method2_sgd
2,layer2,1,7,relu_0.05_win5_method2_sgd
2,layer3,5,7,relu_0.05_win5_method2_sgd
2,layer4,19,7,relu_0.05_win5_method2_sgd
2,conv1,1,8,relu_0.05_win5_method2_sgd
2,layer1,1,8,relu_0.05_win5_method2_sgd
2,layer2,1,8,relu_0.05_win5_method2_sgd
2,layer3,1,8,relu_0.05_win5_method2_sgd
2,layer4,29,8,relu_0.05_win5_method2_sgd
2,conv1,2,9,relu_0.05_win5_method2_sgd
2,layer1,1,9,relu_0.05_win5_method2_sgd
2,layer2,1,9,relu_0.05_win5_method2_sgd
2,layer3,4,9,relu_0.05_win5_method2_sgd
2,layer4,24,9,relu_0.05_win5_method2_sgd
3,conv1,1,0,relu_0.05_win5_method2_sgd
3,layer1,1,0,relu_0.05_win5_method2_sgd
3,layer2,1,0,relu_0.05_win5_method2_sgd
3,layer3,1,0,relu_0.05_win5_method2_sgd
3,layer4,23,0,relu_0.05_win5_method2_sgd
3,conv1,1,1,relu_0.05_win5_method2_sgd
3,layer1,1,1,relu_0.05_win5_method2_sgd
3,layer2,1,1,relu_0.05_win5_method2_sgd
3,layer3,2,1,relu_0.05_win5_method2_sgd
3,layer4,20,1,relu_0.05_win5_method2_sgd
3,conv1,1,2,relu_0.05_win5_method2_sgd
3,layer1,1,2,relu_0.05_win5_method2_sgd
3,layer2,1,2,relu_0.05_win5_method2_sgd
3,layer3,1,2,relu_0.05_win5_method2_sgd
3,layer4,10,2,relu_0.05_win5_method2_sgd
3,conv1,1,3,relu_0.05_win5_method2_sgd
3,layer1,1,3,relu_0.05_win5_method2_sgd
3,layer2,1,3,relu_0.05_win5_method2_sgd
3,layer3,1,3,relu_0.05_win5_method2_sgd
3,layer4,8,3,relu_0.05_win5_method2_sgd
3,conv1,1,4,relu_0.05_win5_method2_sgd
3,layer1,1,4,relu_0.05_win5_method2_sgd
3,layer2,1,4,relu_0.05_win5_method2_sgd
3,layer3,2,4,relu_0.05_win5_method2_sgd
3,layer4,11,4,relu_0.05_win5_method2_sgd
3,conv1,1,5,relu_0.05_win5_method2_sgd
3,layer1,1,5,relu_0.05_win5_method2_sgd
3,layer2,1,5,relu_0.05_win5_method2_sgd
3,layer3,3,5,relu_0.05_win5_method2_sgd
3,layer4,14,5,relu_0.05_win5_method2_sgd
3,conv1,1,6,relu_0.05_win5_method2_sgd
3,layer1,1,6,relu_0.05_win5_method2_sgd
3,layer2,1,6,relu_0.05_win5_method2_sgd
3,layer3,3,6,relu_0.05_win5_method2_sgd
3,layer4,9,6,relu_0.05_win5_method2_sgd
3,conv1,3,7,relu_0.05_win5_method2_sgd
3,layer1,1,7,relu_0.05_win5_method2_sgd
3,layer2,1,7,relu_0.05_win5_method2_sgd
3,layer3,2,7,relu_0.05_win5_method2_sgd
3,layer4,9,7,relu_0.05_win5_method2_sgd
3,conv1,1,8,relu_0.05_win5_method2_sgd
3,layer1,1,8,relu_0.05_win5_method2_sgd
3,layer2,1,8,relu_0.05_win5_method2_sgd
3,layer3,2,8,relu_0.05_win5_method2_sgd
3,layer4,4,8,relu_0.05_win5_method2_sgd
3,conv1,1,9,relu_0.05_win5_method2_sgd
3,layer1,1,9,relu_0.05_win5_method2_sgd
3,layer2,1,9,relu_0.05_win5_method2_sgd
3,layer3,1,9,relu_0.05_win5_method2_sgd
3,layer4,2,9,relu_0.05_win5_method2_sgd
4,conv1,1,0,relu_0.05_win5_method2_sgd
4,layer1,1,0,relu_0.05_win5_method2_sgd
4,layer2,2,0,relu_0.05_win5_method2_sgd
4,layer3,1,0,relu_0.05_win5_method2_sgd
4,layer4,12,0,relu_0.05_win5_method2_sgd
4,conv1,1,1,relu_0.05_win5_method2_sgd
4,layer1,1,1,relu_0.05_win5_method2_sgd
4,layer2,2,1,relu_0.05_win5_method2_sgd
4,layer3,1,1,relu_0.05_win5_method2_sgd
4,layer4,8,1,relu_0.05_win5_method2_sgd
