model,num_tasks_seen,task,metric_type,accuracy
leaky_relu_0.3_ours_sgd,3,1,Task-IL,69.0
leaky_relu_0.3_ours_sgd,3,2,Class-IL,87.3
leaky_relu_0.3_ours_sgd,3,2,Task-IL,87.3
leaky_relu_0.3_ours_sgd,3,avg,Class-IL,29.1
leaky_relu_0.3_ours_sgd,3,avg,Task-IL,75.78
leaky_relu_0.3_ours_sgd,4,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,0,Task-IL,49.8
leaky_relu_0.3_ours_sgd,4,1,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,1,Task-IL,51.7
leaky_relu_0.3_ours_sgd,4,2,Class-IL,0.0
leaky_relu_0.3_ours_sgd,4,2,Task-IL,67.0
leaky_relu_0.3_ours_sgd,4,3,Class-IL,91.10000000000001
leaky_relu_0.3_ours_sgd,4,3,Task-IL,91.10000000000001
leaky_relu_0.3_ours_sgd,4,avg,Class-IL,22.78
leaky_relu_0.3_ours_sgd,4,avg,Task-IL,64.9
leaky_relu_0.3_ours_sgd,5,0,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,0,Task-IL,68.0
leaky_relu_0.3_ours_sgd,5,1,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,1,Task-IL,60.3
leaky_relu_0.3_ours_sgd,5,2,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,2,Task-IL,47.449999999999996
leaky_relu_0.3_ours_sgd,5,3,Class-IL,0.0
leaky_relu_0.3_ours_sgd,5,3,Task-IL,68.10000000000001
leaky_relu_0.3_ours_sgd,5,4,Class-IL,94.1
leaky_relu_0.3_ours_sgd,5,4,Task-IL,94.1
leaky_relu_0.3_ours_sgd,5,avg,Class-IL,18.82
leaky_relu_0.3_ours_sgd,5,avg,Task-IL,67.59
silu_0.3_ours_adam,1,0,Class-IL,94.8
silu_0.3_ours_adam,1,0,Task-IL,94.8
silu_0.3_ours_adam,1,avg,Class-IL,94.8
silu_0.3_ours_adam,1,avg,Task-IL,94.8
silu_0.3_ours_adam,2,0,Class-IL,0.0
silu_0.3_ours_adam,2,0,Task-IL,50.1
silu_0.3_ours_adam,2,1,Class-IL,84.25
silu_0.3_ours_adam,2,1,Task-IL,84.25
silu_0.3_ours_adam,2,avg,Class-IL,42.12
silu_0.3_ours_adam,2,avg,Task-IL,67.18
silu_0.3_ours_adam,3,0,Class-IL,0.0
silu_0.3_ours_adam,3,0,Task-IL,64.14999999999999
silu_0.3_ours_adam,3,1,Class-IL,0.0
silu_0.3_ours_adam,3,1,Task-IL,48.6
silu_0.3_ours_adam,3,2,Class-IL,90.0
silu_0.3_ours_adam,3,2,Task-IL,90.0
silu_0.3_ours_adam,3,avg,Class-IL,30.0
silu_0.3_ours_adam,3,avg,Task-IL,67.58
silu_0.3_ours_adam,4,0,Class-IL,0.0
silu_0.3_ours_adam,4,0,Task-IL,51.9
silu_0.3_ours_adam,4,1,Class-IL,19.35
silu_0.3_ours_adam,4,1,Task-IL,49.75
silu_0.3_ours_adam,4,2,Class-IL,24.099999999999998
silu_0.3_ours_adam,4,2,Task-IL,47.8
silu_0.3_ours_adam,4,3,Class-IL,2.7
silu_0.3_ours_adam,4,3,Task-IL,88.3
silu_0.3_ours_adam,4,avg,Class-IL,11.54
silu_0.3_ours_adam,4,avg,Task-IL,59.44
silu_0.3_ours_adam,5,0,Class-IL,0.0
silu_0.3_ours_adam,5,0,Task-IL,76.1
silu_0.3_ours_adam,5,1,Class-IL,0.0
silu_0.3_ours_adam,5,1,Task-IL,50.6
silu_0.3_ours_adam,5,2,Class-IL,0.0
silu_0.3_ours_adam,5,2,Task-IL,50.7
silu_0.3_ours_adam,5,3,Class-IL,0.0
silu_0.3_ours_adam,5,3,Task-IL,50.0
silu_0.3_ours_adam,5,4,Class-IL,91.55
silu_0.3_ours_adam,5,4,Task-IL,91.55
silu_0.3_ours_adam,5,avg,Class-IL,18.31
silu_0.3_ours_adam,5,avg,Task-IL,63.79
relu_0.2_ghada_sgd,1,0,Class-IL,83.2
relu_0.2_ghada_sgd,1,0,Task-IL,83.2
relu_0.2_ghada_sgd,1,avg,Class-IL,83.2
relu_0.2_ghada_sgd,1,avg,Task-IL,83.2
relu_0.2_ghada_sgd,2,0,Class-IL,0.0
relu_0.2_ghada_sgd,2,0,Task-IL,63.24999999999999
relu_0.2_ghada_sgd,2,1,Class-IL,77.85
relu_0.2_ghada_sgd,2,1,Task-IL,77.85
relu_0.2_ghada_sgd,2,avg,Class-IL,38.92
relu_0.2_ghada_sgd,2,avg,Task-IL,70.55
relu_0.2_ghada_sgd,3,0,Class-IL,0.0
relu_0.2_ghada_sgd,3,0,Task-IL,65.10000000000001
relu_0.2_ghada_sgd,3,1,Class-IL,0.0
relu_0.2_ghada_sgd,3,1,Task-IL,63.14999999999999
relu_0.2_ghada_sgd,3,2,Class-IL,86.5
relu_0.2_ghada_sgd,3,2,Task-IL,86.5
relu_0.2_ghada_sgd,3,avg,Class-IL,28.83
relu_0.2_ghada_sgd,3,avg,Task-IL,71.58
relu_0.2_ghada_sgd,4,0,Class-IL,0.0
relu_0.2_ghada_sgd,4,0,Task-IL,50.5
relu_0.2_ghada_sgd,4,1,Class-IL,0.0
relu_0.2_ghada_sgd,4,1,Task-IL,54.6
relu_0.2_ghada_sgd,4,2,Class-IL,0.0
relu_0.2_ghada_sgd,4,2,Task-IL,64.64999999999999
relu_0.2_ghada_sgd,4,3,Class-IL,96.7
relu_0.2_ghada_sgd,4,3,Task-IL,96.7
relu_0.2_ghada_sgd,4,avg,Class-IL,24.18
relu_0.2_ghada_sgd,4,avg,Task-IL,66.61
relu_0.2_ghada_sgd,5,0,Class-IL,0.0
relu_0.2_ghada_sgd,5,0,Task-IL,74.8
relu_0.2_ghada_sgd,5,1,Class-IL,0.0
relu_0.2_ghada_sgd,5,1,Task-IL,58.8
relu_0.2_ghada_sgd,5,2,Class-IL,0.0
relu_0.2_ghada_sgd,5,2,Task-IL,54.400000000000006
relu_0.2_ghada_sgd,5,3,Class-IL,0.0
relu_0.2_ghada_sgd,5,3,Task-IL,73.25
relu_0.2_ghada_sgd,5,4,Class-IL,93.65
relu_0.2_ghada_sgd,5,4,Task-IL,93.65
relu_0.2_ghada_sgd,5,avg,Class-IL,18.73
relu_0.2_ghada_sgd,5,avg,Task-IL,70.98
relu_0.2_ours_sgd,1,0,Class-IL,83.2
relu_0.2_ours_sgd,1,0,Task-IL,83.2
relu_0.2_ours_sgd,1,avg,Class-IL,83.2
relu_0.2_ours_sgd,1,avg,Task-IL,83.2
relu_0.2_ours_sgd,2,0,Class-IL,0.0
relu_0.2_ours_sgd,2,0,Task-IL,63.24999999999999
relu_0.2_ours_sgd,2,1,Class-IL,77.85
relu_0.2_ours_sgd,2,1,Task-IL,77.85
relu_0.2_ours_sgd,2,avg,Class-IL,38.92
relu_0.2_ours_sgd,2,avg,Task-IL,70.55
relu_0.2_ours_sgd,3,0,Class-IL,0.0
relu_0.2_ours_sgd,3,0,Task-IL,65.10000000000001
relu_0.2_ours_sgd,3,1,Class-IL,0.0
relu_0.2_ours_sgd,3,1,Task-IL,63.14999999999999
relu_0.2_ours_sgd,3,2,Class-IL,86.5
relu_0.2_ours_sgd,3,2,Task-IL,86.5
relu_0.2_ours_sgd,3,avg,Class-IL,28.83
relu_0.2_ours_sgd,3,avg,Task-IL,71.58
relu_0.2_ours_sgd,4,0,Class-IL,0.0
relu_0.2_ours_sgd,4,0,Task-IL,50.5
relu_0.2_ours_sgd,4,1,Class-IL,0.0
relu_0.2_ours_sgd,4,1,Task-IL,54.6
relu_0.2_ours_sgd,4,2,Class-IL,0.0
relu_0.2_ours_sgd,4,2,Task-IL,64.64999999999999
relu_0.2_ours_sgd,4,3,Class-IL,96.7
relu_0.2_ours_sgd,4,3,Task-IL,96.7
relu_0.2_ours_sgd,4,avg,Class-IL,24.18
relu_0.2_ours_sgd,4,avg,Task-IL,66.61
relu_0.2_ours_sgd,5,0,Class-IL,0.0
relu_0.2_ours_sgd,5,0,Task-IL,74.8
relu_0.2_ours_sgd,5,1,Class-IL,0.0
relu_0.2_ours_sgd,5,1,Task-IL,58.8
relu_0.2_ours_sgd,5,2,Class-IL,0.0
relu_0.2_ours_sgd,5,2,Task-IL,54.400000000000006
relu_0.2_ours_sgd,5,3,Class-IL,0.0
relu_0.2_ours_sgd,5,3,Task-IL,73.25
relu_0.2_ours_sgd,5,4,Class-IL,93.65
relu_0.2_ours_sgd,5,4,Task-IL,93.65
relu_0.2_ours_sgd,5,avg,Class-IL,18.73
relu_0.2_ours_sgd,5,avg,Task-IL,70.98
silu_0.2_ours_adam,1,0,Class-IL,94.8
silu_0.2_ours_adam,1,0,Task-IL,94.8
silu_0.2_ours_adam,1,avg,Class-IL,94.8
silu_0.2_ours_adam,1,avg,Task-IL,94.8
silu_0.2_ours_adam,2,0,Class-IL,0.0
silu_0.2_ours_adam,2,0,Task-IL,49.85
